Source_Name,GLON,GLAT,Flux1000,Unc_Flux1000,PL_Index,Unc_PL_Index,CLASS,Redshift,SED_class,nu_syn,nuFnu_syn
4FGL J2132.0-5418,341.89316,-44.84697,3.6648343e-10,3.9675523e-11,2.4158797,0.07516721,bcu,-inf,LSP,4731512600000.0,3.4983962e-13
4FGL J2133.0+2610,76.83379,-18.444273,2.9116237e-10,5.1010467e-11,2.4298055,0.11753517,bcu,-inf,LSP,59566214000000.0,2.4775134e-13
4FGL J2133.1+2529,76.34408,-18.950415,2.3145927e-10,4.2464032e-11,1.9646828,0.13145217,bll,-inf,,0.0,0.0
4FGL J2133.6+1439,67.796265,-26.391457,1.03094026e-10,3.3512852e-11,2.8268647,0.20799595,bcu,-inf,,0.0,0.0
4FGL J2133.9+6646,105.18094,10.986431,8.856933e-10,6.484868e-11,2.0892446,0.05434758,bll,-inf,HSP,2454708800000000.0,1.2703284e-12
4FGL J2134.2-0154,52.3911,-36.53499,1.08353e-09,6.12198e-11,2.2952821,0.040530067,bll,1.283,LSP,8317638000000.0,5.5816038e-12
4FGL J2134.3-6511,327.90118,-41.117413,1.9188237e-10,3.2692134e-11,2.3106277,0.15774862,bcu,-inf,LSP,22908676000000.0,5.9929134e-13
4FGL J2134.5-2130,28.944061,-45.07269,7.7685636e-10,5.3310977e-11,1.9962465,0.049610876,bll,-inf,ISP,144543970000000.0,8.1972656e-13
4FGL J2135.3-5006,347.53693,-46.399708,8.536361e-10,5.1337264e-11,2.430213,0.03845473,fsrq,2.181,LSP,3845917800000.0,3.133596e-13
4FGL J2136.2+0032,55.252216,-35.5812,1.973818e-10,3.4870083e-11,2.8774724,0.08726209,fsrq,1.941,,0.0,0.0
4FGL J2136.2-0642,47.50757,-39.469254,1.3656688e-10,3.160258e-11,2.5245962,0.15673858,bcu,0.939939,LSP,9594006000000.0,4.9218003e-13
4FGL J2137.4-3209,13.969905,-47.901432,1.3497237e-10,3.0364555e-11,1.9099249,0.14249556,bcu,-inf,,0.0,0.0
4FGL J2138.3+3556,84.74209,-12.233765,1.5869452e-10,3.9022573e-11,1.9131839,0.16268554,bcu,-inf,ISP,186208710000000.0,6.6554894e-13
4FGL J2138.8-2055,30.158794,-45.844017,1.3783984e-10,3.055607e-11,1.7632864,0.13812989,bll,0.29,,0.0,0.0
4FGL J2139.2-2214,28.384035,-46.336765,1.5421076e-10,3.3800168e-11,2.5581334,0.15428756,bcu,-inf,ISP,141253760000000.0,2.7416372e-13
4FGL J2139.4-4235,358.31622,-48.328983,5.6190004e-09,1.250893e-10,2.0122356,0.013814117,bll,-inf,ISP,251188650000000.0,6.7729676e-12
4FGL J2139.9+3910,87.20522,-10.070469,1.6696199e-10,4.864383e-11,2.7565475,0.16523378,bcu,-inf,,0.0,0.0
4FGL J2140.5-6731,324.79556,-40.561882,7.8716256e-11,2.3899546e-11,2.8645952,0.13519296,bcu,-inf,,0.0,0.0
4FGL J2141.4+2947,80.892044,-17.18531,1.6162913e-10,3.658998e-11,2.2187898,0.15731242,bll,-inf,,0.0,0.0
4FGL J2141.7-6410,328.62253,-42.275753,2.8633815e-09,8.345523e-11,2.3330238,0.018125942,bcu,-inf,LSP,10964782000000.0,8.5215385e-13
4FGL J2141.8-3727,6.0503583,-49.072483,4.2543127e-10,4.418466e-11,2.6226625,0.06276031,fsrq,0.423,LSP,28183830000000.0,1.0703579e-12
4FGL J2142.4+3659,86.07794,-12.015258,2.8300345e-10,4.6786748e-11,1.9608763,0.11574131,bcu,-inf,,0.0,0.0
4FGL J2142.5-2552,23.493814,-47.981167,3.9318293e-10,4.2314152e-11,2.2085009,0.0767267,bcu,-inf,,0.0,0.0
4FGL J2142.7-0437,50.914684,-39.78229,1.9996794e-10,3.4617195e-11,2.29698,0.13691117,fsrq,0.344,LSP,29648314000000.0,2.085499e-12
4FGL J2142.8+1958,73.76581,-24.388187,1.4982737e-10,3.545317e-11,1.7948155,0.14368717,bcu,-inf,ISP,630957340000000.0,4.2398648e-13
4FGL J2143.0-5501,340.21964,-46.12818,1.1303983e-11,5.864693e-12,3.0115697,0.15045369,bcu,1.92,LSP,3104559600000.0,3.1910013e-13
4FGL J2143.1-3929,2.9292789,-49.272335,4.746415e-10,4.5276272e-11,2.1389253,0.07523824,bll,0.429,HSP,1045923700000000.0,1.0433668e-12
4FGL J2143.5+1743,72.112946,-26.081432,4.835053e-09,1.1600937e-10,2.4942126,0.013911928,fsrq,0.211,LSP,43151910000000.0,1.0001312e-11
4FGL J2143.9+3337,84.012665,-14.724721,2.0898788e-10,4.1316173e-11,1.9680792,0.1227,bcu,-inf,LSP,3311311300000.0,1.9470495e-12
4FGL J2144.2+3132,82.600204,-16.30174,6.484057e-10,5.2807033e-11,2.1122744,0.060740814,bll,-inf,ISP,245470890000000.0,1.5171622e-12
4FGL J2144.3-7802,313.54895,-34.921036,9.365743e-11,3.0523254e-11,3.060905,0.16213211,fsrq,0.732,LSP,14044297000000.0,1.503869e-12
4FGL J2144.8-1817,34.406544,-46.323273,1.1016879e-10,3.1576994e-11,1.9490254,0.20296441,bcu,-inf,ISP,851138000000000.0,2.5082627e-13
4FGL J2145.0-3356,11.463468,-49.62717,1.3855568e-09,6.706853e-11,2.2998946,0.030765295,fsrq,1.36,LSP,9332543000000.0,9.383719e-13
